Name,organizationId,appId,Status,Status Time
C2 Heating & Air,surefire-local,c2-heating-and-air,Ready for Install,2023-03-08T20:25:43.901Z
"C3CC, LLC",surefire-local,c3cc-llc,Ready for Install,2022-11-30T16:29:21.752Z
Cafco Services,surefire-local,cafco-services,Live,2022-11-30T16:29:27.408Z
Calidad Enterprises,surefire-local,calidad-enterprises,Live,2022-11-30T16:29:33.157Z
California Heating and Cooling,surefire-local,california-heating-and-cooling,Live,2022-11-30T16:29:38.998Z
Camellia City Metal,surefire-local,camellia-city-metal,Live,2022-11-30T16:29:44.008Z
Candle Medical Spa,surefire-local,candle-medical-spa,Ready for Install,2022-12-14T03:29:00.107Z
Candor Mechanical LLC,surefire-local,candor-mechanical-llc,Live,2023-01-30T18:27:38.769Z
Canes Exterior,surefire-local,canes-exterior,Live,2022-11-30T16:29:49.420Z
Canonico's Heating & Air Conditioning,surefire-local,canonicos-heating-and-air-conditioning,Ready for Install,2022-11-30T16:29:52.703Z
Cape & Island Tree Service Inc,surefire-local,cape-and-island-tree-service-inc,Live,2023-03-13T20:28:24.081Z
Capital Overhead Doors and Gates,surefire-local,capital-overhead-doors-and-gates,Ready for Install,2023-02-24T18:43:42.485Z
Capital Roofing LLC,surefire-local,capital-roofing-llc,Live,2022-11-30T16:29:58.046Z
Captain Air Heating and Cooling,surefire-local,captain-air-heating-and-cooling,Ready for Install,2022-11-30T16:30:04.095Z
Carapezza Construction & Roofing Company Inc.,surefire-local,carapezza-construction-and-roofing-company-inc,Ready for Install,2022-12-20T15:54:38.526Z
Cardozo Roofing & Siding,surefire-local,cardozo-roofing-and-siding,Ready for Install,2022-11-30T16:30:09.153Z
Care Contracting,surefire-local,care-contracting,Live,2022-11-30T16:30:18.334Z
Carlton Rembert,surefire-local,carlton-rembert,Ready for Install,2022-11-30T16:30:25.958Z
Carolina Roofing Siding Painting,surefire-local,carolina-roofing-siding-painting,Live,2022-11-30T16:30:31.145Z
Carter Home Services,surefire-local,carter-home-services,Live,2022-11-30T16:30:45.433Z
Cassas Brothers Roofing and Siding,surefire-local,cassas-brothers-roofing-and-siding,Live,2022-11-30T16:30:54.298Z
"Castle Builders And Roofing, LLC",surefire-local,castle-builders-and-roofing-llc,Ready for Install,2022-11-30T16:30:57.947Z
Castlestone Homes,surefire-local,castlestone-homes,Live,2022-11-30T16:31:02.720Z
Cat's Eye Security,surefire-local,cats-eye-security,Ready for Install,2022-11-30T16:31:06.900Z
CC Construction & Roofing,surefire-local,cc-construction-and-roofing,Live,2022-11-30T16:31:16.789Z
Cedar Creek Construction,surefire-local,cedar-creek-construction,Live,2022-12-20T16:10:39.588Z
Cedi Contractors LLC,surefire-local,cedi-contractors-llc,Live,2022-11-30T16:31:25.135Z
"Centennial Roofing, Inc.",surefire-local,centennial-roofing-inc,Live,2022-11-30T16:31:33.106Z
Central Heating & Air,surefire-local,central-heating-and-air,Ready for Install,2023-03-10T00:39:22.705Z
Central Heating & Cooling Inc.,surefire-local,central-heating-and-cooling-inc,Submitted for Review,2023-03-10T14:51:22.841Z
Centron Plumbing Services,surefire-local,centron-plumbing-services,Ready for Install,2022-11-30T16:31:36.504Z
CER Roofing Contractors LLC,surefire-local,cer-roofing-contractors-llc,Live,2022-09-08T03:03:57.895Z
"Certified Roofers & General Contractors, Inc.",surefire-local,certified-roofers-and-general-contractors-inc,Ready for Install,2023-01-12T19:00:31.376Z
"Certified Roofing Solutions, LLC",surefire-local,certified-roofing-solutions-llc,Ready for Install,2022-11-30T16:31:47.951Z
Chico Solar Works,surefire-local,chico-solar-works,Ready for Install,2023-02-17T18:47:47.879Z
Choice Roofing Care LLC,surefire-local,choice-roofing-care-llc,Ready for Install,2022-11-30T16:31:54.298Z
Christian Brothers Roofing,surefire-local,christian-brothers-roofing,Live,2022-11-30T16:31:59.657Z
Christian Construction,surefire-local,christian-construction,Ready for Install,2022-11-30T16:32:04.256Z
Christofferson Construction LLC,surefire-local,christofferson-construction-llc,Live,2022-11-30T16:32:09.798Z
Classic Roofing & Construction,surefire-local,classic-roofing-and-construction,Live,2022-12-20T16:13:06.694Z
Clear Victory Painting,surefire-local,clear-victory-painting,Ready for Install,2022-11-30T16:32:22.906Z
Clemmons Windows & Doors,surefire-local,clemmons-windows-and-doors,Live,2022-12-20T16:13:40.103Z
Climate Systems Heating and Air Conditioning,surefire-local,climate-systems-heating-and-air-conditioning,Live,2022-11-30T16:32:32.332Z
Climate-Tech Inc,surefire-local,climate-tech-inc,Live,2022-12-20T16:13:55.076Z
CM Roofing Pros LLC,surefire-local,cm-roofing-pros-llc,Live,2022-10-19T18:45:16.215Z
CNY Complete Contracting,surefire-local,cny-complete-contracting,Live,2022-11-30T16:32:44.715Z
Coast A/C & Heat,surefire-local,coast-ac-and-heat,Live,2023-01-30T18:35:10.475Z
Coastal Roofing & Sheetmetal Co.,surefire-local,coastal-roofing-and-sheetmetal-co,Live,2022-11-30T16:32:49.580Z
Coastland Construction,surefire-local,coastland-construction,Live,2022-11-30T16:32:54.456Z
Coastline Construction Services LLC,surefire-local,coastline-construction-services-llc,In Review,2023-03-10T14:48:33.256Z
Colorado Pro Roofing,surefire-local,colorado-pro-roofing,Ready for Install,2022-11-30T16:32:58.617Z
Columbia Contracting LLC,surefire-local,columbia-contracting-llc,Live,2022-11-30T16:33:05.639Z
Complete Glass Utah,surefire-local,complete-glass-utah,Live,2022-11-30T16:33:12.765Z
