Name,organizationId,appId,Link,Status,Status Time
920 AM The Sports Animal,Cumulus-Media,920-am-the-sports-animal,https://studio.xapp.ai/Cumulus-Media/920-am-the-sports-animal,Live,2017-09-29T19:01:05.544Z
92.1 The Ticket,Cumulus-Media,921-the-ticket,https://studio.xapp.ai/Cumulus-Media/921-the-ticket,Live,2018-06-13T15:42:22.857Z
923 KRST NASH FM,Cumulus-Media,923-krst-nash-fm,https://studio.xapp.ai/Cumulus-Media/923-krst-nash-fm,Live,2017-10-25T17:41:26.199Z
92.5 KJJY,Cumulus-Media,925-kjjy,https://studio.xapp.ai/Cumulus-Media/925-kjjy,Live,2019-05-31T21:25:33.943Z
92.5 Nash Icon,Cumulus-Media,925-nash-icon,https://studio.xapp.ai/Cumulus-Media/925-nash-icon,Live,2017-09-29T18:35:35.856Z
92.5 The Fox,Cumulus-Media,925-the-fox,https://studio.xapp.ai/Cumulus-Media/925-the-fox,Live,2018-01-02T16:47:45.424Z
92.9 Peak FM,Cumulus-Media,929-peak-fm,https://studio.xapp.ai/Cumulus-Media/929-peak-fm,Live,2017-09-29T18:58:48.342Z
93-3 KOB-FM,Cumulus-Media,93-3-kob-fm,https://studio.xapp.ai/Cumulus-Media/93-3-kob-fm,Live,2017-09-29T18:50:25.011Z
93.1 The Ticket,Cumulus-Media,931-the-ticket,https://studio.xapp.ai/Cumulus-Media/931-the-ticket,Live,2020-06-24T17:51:08.114Z
93.3 The Q,Cumulus-Media,933-the-q,https://studio.xapp.ai/Cumulus-Media/933-the-q,Incomplete,2019-11-15T15:33:14.188Z
93.5 NASH FM,Cumulus-Media,935-nash-fm,https://studio.xapp.ai/Cumulus-Media/935-nash-fm,Live,2019-03-21T19:23:40.696Z
93.5 WRQN,Cumulus-Media,935-wrqn,https://studio.xapp.ai/Cumulus-Media/935-wrqn,Live,2017-09-29T18:37:52.577Z
93.7 Kiss Country,Cumulus-Media,937-kiss-country,https://studio.xapp.ai/Cumulus-Media/937-kiss-country,Live,2017-09-29T18:46:59.990Z
93.9 THE BEAT,Cumulus-Media,939-the-beat,https://studio.xapp.ai/Cumulus-Media/939-the-beat,Live,2017-09-29T17:59:18.354Z
93.9X Indy's Rock Station ,Cumulus-Media,939x-indys-rock-station-,https://studio.xapp.ai/Cumulus-Media/939x-indys-rock-station-,Live,2019-05-31T21:18:31.962Z
93Q,Cumulus-Media,93q,https://studio.xapp.ai/Cumulus-Media/93q,Live,2017-09-29T18:41:35.191Z
93X,Cumulus-Media,93x,https://studio.xapp.ai/Cumulus-Media/93x,Live,2017-09-29T18:46:15.807Z
94.1 WHRP,Cumulus-Media,941-whrp,https://studio.xapp.ai/Cumulus-Media/941-whrp,Live,2017-09-29T18:54:54.359Z
